"id";"x";"y";"label";"color";"count"
"IE";2007;0,0998502246630055;"IE";"lightblue";2
"HU";2019;0,0369549150036955;"HU";"lightblue";2
"NZ";2019;0,0369549150036955;"NZ";"lightblue";2
"SE";2004;0,193610842207164;"SE";"lightorange";2
"LU";2005;0,141542816702052;"LU";"lightblue";2
"GB";2010;0,0803858520900322;"GB";"lightblue";2
"TH";2014;0,0434027777777778;"TH";"lightblue";2
"AR";2014;0,0434027777777778;"AR";"lightblue";2
"EG";2016;0,0443458980044346;"EG";"lightblue";2
"GB";2017;0,0435445242760723;"GB";"lightblue";2
"AU";2021;0,0683994528043776;"AU";"lightblue";2
"IE";2012;0,0479156684235745;"IE";"lightblue";2
"ZA";2013;0,0476758045292014;"ZA";"lightblue";2
"ZA";2017;0,0435445242760723;"ZA";"lightblue";2
"GB";2015;0,0488042947779405;"GB";"lightblue";2
"CZ";2018;0,04149377593361;"CZ";"lightblue";2
"AU";2006;0,112296462661426;"AU";"lightblue";2
"RO";2005;0,141542816702052;"RO";"lightblue";2
"GB";2004;0,193610842207164;"GB";"lightblue";2
"IE";2005;0,141542816702052;"IE";"lightblue";2
"NO";2008;0,0986193293885602;"NO";"lightblue";2
"TT";2010;0,0803858520900322;"TT";"lightblue";2
"NO";2011;0,0595947556615018;"NO";"lightblue";2
"SA";2011;0,0595947556615018;"SA";"lightblue";2
"CZ";2013;0,0476758045292014;"CZ";"lightblue";2
"SI";2015;0,0488042947779405;"SI";"lightblue";2
"CZ";2016;0,0443458980044346;"CZ";"lightblue";2
"PL";2020;0,0340773555972057;"PL";"lightblue";2
"EL";2011;0,0595947556615018;"EL";"lightblue";2
"TR";2012;0,0479156684235745;"TR";"lightblue";2
"PH";2005;0,141542816702052;"PH";"lightblue";2
"HU";2018;0,04149377593361;"HU";"lightblue";2
"RU";2008;0,0986193293885602;"RU";"lightblue";2
"LU";2009;0,0869565217391304;"LU";"lightblue";2
"HU";2010;0,0803858520900322;"HU";"lightblue";2
"GB";2011;0,0595947556615018;"GB";"lightblue";2
"BG";2012;0,0479156684235745;"BG";"lightblue";2
"LT";2013;0,0476758045292014;"LT";"lightblue";2
"LT";2014;0,0434027777777778;"LT";"lightblue";2
"HU";2013;0,0476758045292014;"HU";"lightblue";2
"LT";2015;0,0488042947779405;"LT";"lightblue";2
"NO";2018;0,04149377593361;"NO";"lightblue";2
