"priority";"fua_name";"app_name";"count";"ctry"
"Computer-aided design [CAD]";"San Jose-San Francisco-Oakland - Ca";"Zoox Inc";3;"US"
"Computer-aided design [CAD]";"San Jose-San Francisco-Oakland - Ca";"Drishti Technologies Inc";3;"US"
"Computer-aided design [CAD]";"San Jose-San Francisco-Oakland - Ca";"Sifive Inc";3;"US"
"Computer-aided design [CAD]";"San Jose-San Francisco-Oakland - Ca";"Lam Research Corporation";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Capsovision Inc";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Broadspot Imaging Corp";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Glint Photonics Inc";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Neiser Paul";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Innovusion Ireland Limited";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Cepton Technologies Inc";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Infinera Corporation";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Invensas Bonding Technologies Inc";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Artilux Inc";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Fove Inc";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Meta Company";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Navdy Inc";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Zhou Tiger";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Zhou Andrew";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Zhou Dylan";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Alcacruz Inc";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"The Regents Of University Of California";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Carl Zeiss Meditec Inc";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Aeva Inc";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Kla - Tencor Corporation";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Blackmore Sensors & Analytics Llc";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Versalume Llc";3;"US"
"Optical systems (general)";"San Jose-San Francisco-Oakland - Ca";"Inikoa Medical Inc";3;"US"
