"prio";"reg";"from";"to";"binary.pat";"binary.pub";"NEW.binary.pub"
"3D-printing/additive productie";"south-nl";"NL41";"PT16";NA;2;2
"3D-printing/additive productie";"south-nl";"NL41";"PT17";NA;3;3
"3D-printing/additive productie";"south-nl";"NL41";"SE22";NA;3;3
"3D-printing/additive productie";"south-nl";"NL41";"UKG3";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL41";"UKH3";1;NA;NA
"3D-printing/additive productie";"south-nl";"NL42";"BE21";NA;1;1
"3D-printing/additive productie";"south-nl";"NL42";"BE22";NA;2;2
"3D-printing/additive productie";"south-nl";"NL42";"BE24";NA;1;1
"3D-printing/additive productie";"south-nl";"NL42";"DEA1";2;NA;NA
"3D-printing/additive productie";"south-nl";"NL42";"DEA2";NA;1;1
"3D-printing/additive productie";"south-nl";"NL42";"ES21";NA;1;1
"3D-printing/additive productie";"south-nl";"NL42";"FRI1";NA;1;1
"3D-printing/additive productie";"south-nl";"NL42";"IE06";NA;1;1
"3D-printing/additive productie";"south-nl";"NL42";"ITC4";NA;1;1
"3D-printing/additive productie";"south-nl";"NL42";"ITF1";NA;1;1
"3D-printing/additive productie";"south-nl";"NL42";"ITF4";NA;1;1
"3D-printing/additive productie";"south-nl";"NL42";"ITG1";NA;1;1
"3D-printing/additive productie";"south-nl";"NL42";"ITH5";NA;2;2
"3D-printing/additive productie";"south-nl";"NL42";"ITI1";NA;1;1
